title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,dataset_url,fetched_at
College Preparation Workshop,Activities focused on preparing for higher education and career planning,17,20,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,16,19,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,16,19,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,15,18,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,14,17,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",14,16,"social, learning, teamwork",low,both,all,2-20,105,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,13,16,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,15,18,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",15,17,"social, learning, teamwork",low,both,all,2-20,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,14,17,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,13,16,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,14,17,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",16,18,"social, learning, teamwork",low,both,all,2-20,75,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",17,19,"social, learning, teamwork",low,both,all,2-20,75,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,17,20,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,15,18,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",18,20,"social, learning, teamwork",low,both,all,2-20,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,18,21,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,17,20,"education, academic, teamwork",free,indoor,all,2-6,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,16,19,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,20,23,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",19,21,"social, learning, teamwork",low,both,all,2-20,75,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,19,22,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,18,21,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,18,21,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
College Preparation Workshop,Activities focused on preparing for higher education and career planning,20,23,"education, planning, career",low,indoor,all,1-5,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Social Gathering Activity,Group activities for socializing with peers,19,22,"social, fun, friendship",medium,both,all,3-10,120,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Extracurricular Club Activities,"Participation in school clubs, sports, or other organized activities",20,22,"social, learning, teamwork",low,both,all,2-20,105,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
Study Group Session,Collaborative learning and homework help,19,22,"education, academic, teamwork",free,indoor,all,2-6,90,UCI Student Performance Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00320/student.zip,2025-11-21T10:22:05.868316
